"Date","Price","Open","High","Low","Change %"
"Jul 15, 2019","30.890","30.885","30.955","30.860","0.02%"
"Jul 14, 2019","30.885","30.905","30.925","30.885","-0.18%"
"Jul 12, 2019","30.940","30.780","30.960","30.670","0.75%"
"Jul 11, 2019","30.710","30.660","30.740","30.560","0.03%"
"Jul 10, 2019","30.700","30.820","30.890","30.690","-0.36%"
"Jul 09, 2019","30.810","30.830","30.880","30.790","0.00%"
"Jul 08, 2019","30.810","30.780","30.830","30.740","0.15%"
"Jul 07, 2019","30.765","30.775","30.785","30.755","-0.08%"
"Jul 05, 2019","30.790","30.670","30.820","30.640","0.37%"
"Jul 04, 2019","30.675","30.645","30.675","30.565","0.25%"
"Jul 03, 2019","30.600","30.580","30.620","30.530","0.11%"
"Jul 02, 2019","30.565","30.665","30.765","30.555","-0.28%"
"Jul 01, 2019","30.650","30.680","30.710","30.510","0.08%"
"Jun 30, 2019","30.625","30.675","30.695","30.625","-0.21%"
"Jun 28, 2019","30.690","30.800","30.800","30.660","-0.32%"
"Jun 27, 2019","30.790","30.750","30.810","30.720","0.18%"
"Jun 26, 2019","30.735","30.775","30.885","30.715","0.08%"
"Jun 25, 2019","30.710","30.670","30.760","30.630","0.15%"
"Jun 24, 2019","30.665","30.815","30.825","30.655","-0.42%"
"Jun 23, 2019","30.795","30.815","30.825","30.785","0.00%"
"Jun 21, 2019","30.795","30.865","30.905","30.775","-0.23%"
"Jun 20, 2019","30.865","31.195","31.195","30.855","-1.20%"
"Jun 19, 2019","31.240","31.230","31.280","31.210","0.08%"
"Jun 18, 2019","31.215","31.365","31.415","31.185","-0.46%"
"Jun 17, 2019","31.360","31.250","31.360","31.210","0.30%"
"Jun 16, 2019","31.265","31.245","31.265","31.245","0.16%"
"Jun 14, 2019","31.215","31.215","31.265","31.135","0.03%"
"Jun 13, 2019","31.205","31.295","31.295","31.185","-0.19%"
"Jun 12, 2019","31.265","31.265","31.285","31.205","-0.10%"
"Jun 11, 2019","31.295","31.355","31.385","31.275","-0.19%"
"Jun 10, 2019","31.355","31.275","31.405","31.255","0.22%"
"Jun 09, 2019","31.285","31.275","31.295","31.265","0.08%"
"Jun 07, 2019","31.260","31.310","31.410","31.220","-0.13%"
"Jun 06, 2019","31.300","31.410","31.450","31.290","-0.38%"
"Jun 05, 2019","31.420","31.320","31.500","31.290","0.32%"
"Jun 04, 2019","31.320","31.330","31.410","31.270","0.03%"
"Jun 03, 2019","31.310","31.470","31.610","31.300","-0.79%"
"Jun 02, 2019","31.560","31.480","31.610","31.470","0.10%"
"May 31, 2019","31.530","31.790","31.840","31.510","-0.77%"
"May 30, 2019","31.775","31.835","31.855","31.755","-0.19%"
"May 29, 2019","31.835","31.855","31.905","31.795","-0.08%"
"May 28, 2019","31.860","31.830","31.900","31.740","0.06%"
"May 27, 2019","31.840","31.790","31.870","31.740","0.09%"
"May 26, 2019","31.810","31.770","31.830","31.760","-0.09%"
"May 24, 2019","31.840","31.930","31.950","31.780","-0.25%"
"May 23, 2019","31.920","31.940","32.020","31.890","-0.03%"
"May 22, 2019","31.930","31.960","32.040","31.900","-0.06%"
"May 21, 2019","31.950","31.880","32.000","31.800","0.25%"
"May 20, 2019","31.870","31.850","31.920","31.770","0.22%"
"May 19, 2019","31.800","31.830","31.880","31.780","-0.16%"
"May 17, 2019","31.850","31.670","31.870","31.640","0.54%"
"May 16, 2019","31.680","31.550","31.710","31.500","0.44%"
"May 15, 2019","31.540","31.520","31.630","31.480","0.03%"
"May 14, 2019","31.530","31.630","31.690","31.430","-0.33%"
"May 13, 2019","31.635","31.555","31.735","31.535","0.13%"
"May 12, 2019","31.595","31.560","31.640","31.530","0.17%"
"May 10, 2019","31.540","31.800","31.820","31.510","-0.79%"
"May 09, 2019","31.790","31.810","31.860","31.750","-0.06%"
"May 08, 2019","31.810","31.910","31.940","31.730","-0.33%"
"May 07, 2019","31.915","31.885","31.975","31.875","0.05%"
"May 06, 2019","31.900","31.900","32.070","31.860","-0.48%"
"May 05, 2019","32.055","31.880","32.055","31.860","0.45%"
"May 03, 2019","31.910","32.010","32.060","31.880","-0.28%"
"May 02, 2019","32.000","32.000","32.070","31.920","0.13%"
"May 01, 2019","31.960","31.910","32.010","31.860","0.19%"
"Apr 30, 2019","31.900","31.910","32.000","31.870","-0.06%"
"Apr 29, 2019","31.920","31.910","31.970","31.880","-0.05%"
"Apr 28, 2019","31.935","31.900","31.970","31.900","-0.02%"
"Apr 26, 2019","31.940","32.070","32.100","31.890","-0.39%"
"Apr 25, 2019","32.065","32.055","32.165","32.025","0.05%"
"Apr 24, 2019","32.050","31.990","32.090","31.950","0.19%"
"Apr 23, 2019","31.990","31.890","32.020","31.850","0.25%"
"Apr 22, 2019","31.910","31.830","31.930","31.780","0.28%"
"Apr 21, 2019","31.820","31.825","31.860","31.800","-0.05%"
"Apr 19, 2019","31.835","31.825","31.855","31.775","0.08%"
"Apr 18, 2019","31.810","31.780","31.870","31.760","0.06%"
"Apr 17, 2019","31.790","31.840","31.860","31.750","-0.16%"
"Apr 16, 2019","31.840","31.780","31.860","31.760","0.16%"
"Apr 15, 2019","31.790","31.780","31.820","31.740","0.09%"
"Apr 14, 2019","31.760","31.780","31.790","31.740","0.03%"
"Apr 12, 2019","31.750","31.880","31.890","31.740","-0.38%"
"Apr 11, 2019","31.870","31.740","31.900","31.710","0.44%"
"Apr 10, 2019","31.730","31.770","31.860","31.710","-0.09%"
"Apr 09, 2019","31.760","31.880","31.920","31.730","-0.38%"
"Apr 08, 2019","31.880","31.920","31.990","31.840","-0.16%"
"Apr 07, 2019","31.930","31.900","31.970","31.890","0.13%"
"Apr 05, 2019","31.890","31.790","31.940","31.750","0.28%"
"Apr 04, 2019","31.800","31.740","31.840","31.690","0.16%"
"Apr 03, 2019","31.750","31.780","31.810","31.690","-0.06%"
"Apr 02, 2019","31.770","31.680","31.810","31.670","0.25%"
"Apr 01, 2019","31.690","31.680","31.760","31.660","-0.16%"
"Mar 31, 2019","31.740","31.680","31.760","31.680","0.03%"
"Mar 29, 2019","31.730","31.860","31.880","31.670","-0.47%"
"Mar 28, 2019","31.880","31.910","31.950","31.750","-0.09%"
"Mar 27, 2019","31.910","31.630","31.920","31.610","0.89%"
"Mar 26, 2019","31.630","31.550","31.680","31.490","0.25%"
"Mar 25, 2019","31.550","31.720","31.750","31.510","-0.44%"
"Mar 24, 2019","31.690","31.680","31.750","31.655","-0.19%"
"Mar 22, 2019","31.750","31.740","31.800","31.650","0.06%"
"Mar 21, 2019","31.730","31.650","31.780","31.600","0.24%"
"Mar 20, 2019","31.655","31.685","31.805","31.605","-0.05%"
"Mar 19, 2019","31.670","31.710","31.720","31.610","-0.09%"
"Mar 18, 2019","31.700","31.630","31.730","31.630","0.08%"
"Mar 17, 2019","31.675","31.650","31.710","31.630","-0.02%"
"Mar 15, 2019","31.680","31.770","31.800","31.650","-0.28%"
"Mar 14, 2019","31.770","31.610","31.810","31.570","0.54%"
"Mar 13, 2019","31.600","31.650","31.680","31.560","-0.16%"
"Mar 12, 2019","31.650","31.680","31.720","31.610","-0.06%"
"Mar 11, 2019","31.670","31.740","31.780","31.650","-0.25%"
"Mar 10, 2019","31.750","31.720","31.780","31.710","0.03%"
"Mar 08, 2019","31.740","31.850","31.900","31.700","-0.38%"
"Mar 07, 2019","31.860","31.860","31.980","31.760","0.03%"
"Mar 06, 2019","31.850","31.760","31.910","31.730","0.31%"
"Mar 05, 2019","31.750","31.850","31.930","31.710","-0.33%"
"Mar 04, 2019","31.855","31.785","31.915","31.745","0.30%"
"Mar 03, 2019","31.760","31.780","31.810","31.740","-0.20%"
"Mar 01, 2019","31.825","31.585","31.855","31.545","0.78%"
"Feb 28, 2019","31.580","31.450","31.600","31.410","0.45%"
"Feb 27, 2019","31.440","31.280","31.470","31.250","0.48%"
"Feb 26, 2019","31.290","31.270","31.390","31.220","0.03%"
"Feb 25, 2019","31.280","31.320","31.360","31.230","-0.06%"
"Feb 24, 2019","31.300","31.320","31.360","31.280","-0.06%"
"Feb 22, 2019","31.320","31.220","31.370","31.190","0.35%"
"Feb 21, 2019","31.210","31.090","31.270","31.060","0.37%"
"Feb 20, 2019","31.095","31.145","31.185","31.045","-0.11%"
"Feb 19, 2019","31.130","31.230","31.280","31.110","-0.26%"
"Feb 18, 2019","31.210","31.280","31.300","31.180","-0.16%"
"Feb 17, 2019","31.260","31.280","31.300","31.230","-0.03%"
"Feb 15, 2019","31.270","31.340","31.360","31.190","-0.19%"
"Feb 14, 2019","31.330","31.400","31.450","31.280","-0.24%"
"Feb 13, 2019","31.405","31.315","31.415","31.185","0.34%"
"Feb 12, 2019","31.300","31.430","31.460","31.250","-0.48%"
"Feb 11, 2019","31.450","31.480","31.520","31.310","0.40%"
"Feb 10, 2019","31.325","31.460","31.520","31.325","-0.52%"
"Feb 08, 2019","31.490","31.210","31.640","31.210","0.80%"
"Feb 07, 2019","31.240","31.260","31.310","31.190","-0.06%"
"Feb 06, 2019","31.260","31.250","31.310","31.200","0.03%"
"Feb 05, 2019","31.250","31.310","31.340","31.220","-0.13%"
"Feb 04, 2019","31.290","31.300","31.370","31.270","-0.06%"
"Feb 03, 2019","31.310","31.300","31.350","31.280","0.00%"
"Feb 01, 2019","31.310","31.230","31.400","31.200","0.32%"
"Jan 31, 2019","31.210","31.260","31.300","31.180","-0.18%"
"Jan 30, 2019","31.265","31.455","31.535","31.205","-0.57%"
"Jan 29, 2019","31.445","31.525","31.615","31.415","-0.27%"
"Jan 28, 2019","31.530","31.520","31.580","31.430","0.00%"
"Jan 27, 2019","31.530","31.520","31.580","31.510","0.00%"
