"Date","Price","Open","High","Low","Change %"
"Nov 20, 2018","1.3310","1.3173","1.3314","1.3155","1.04%"
"Nov 19, 2018","1.3173","1.3148","1.3202","1.3148","0.19%"
"Nov 18, 2018","1.3148","1.3151","1.3158","1.3142","0.02%"
"Nov 16, 2018","1.3146","1.3183","1.3189","1.3126","-0.24%"
"Nov 15, 2018","1.3178","1.3244","1.3252","1.3155","-0.46%"
"Nov 14, 2018","1.3239","1.3240","1.3265","1.3204","0.02%"
"Nov 13, 2018","1.3236","1.3246","1.3265","1.3213","-0.08%"
"Nov 12, 2018","1.3247","1.3195","1.3251","1.3180","0.40%"
"Nov 11, 2018","1.3194","1.3205","1.3209","1.3194","-0.13%"
"Nov 09, 2018","1.3211","1.3153","1.3233","1.3138","0.45%"
"Nov 08, 2018","1.3152","1.3110","1.3185","1.3085","0.31%"
"Nov 07, 2018","1.3112","1.3122","1.3160","1.3054","-0.09%"
"Nov 06, 2018","1.3124","1.3111","1.3146","1.3100","0.11%"
"Nov 05, 2018","1.3110","1.3105","1.3117","1.3069","0.07%"
"Nov 04, 2018","1.3101","1.3089","1.3105","1.3089","-0.06%"
"Nov 02, 2018","1.3109","1.3084","1.3120","1.3046","0.17%"
"Nov 01, 2018","1.3087","1.3155","1.3170","1.3064","-0.52%"
"Oct 31, 2018","1.3155","1.3108","1.3173","1.3104","0.37%"
"Oct 30, 2018","1.3107","1.3133","1.3149","1.3098","-0.21%"
"Oct 29, 2018","1.3135","1.3108","1.3151","1.3079","0.28%"
"Oct 28, 2018","1.3098","1.3094","1.3100","1.3090","-0.07%"
"Oct 26, 2018","1.3107","1.3072","1.3160","1.3066","0.28%"
"Oct 25, 2018","1.3071","1.3057","1.3100","1.3012","0.13%"
"Oct 24, 2018","1.3054","1.3086","1.3102","1.2967","-0.23%"
"Oct 23, 2018","1.3084","1.3100","1.3121","1.3071","-0.13%"
"Oct 22, 2018","1.3101","1.3096","1.3128","1.3077","-0.02%"
"Oct 21, 2018","1.3104","1.3095","1.3110","1.3095","0.04%"
